Nth Value,method,result,real_time,user_time,sys_time
0,i,0,0.001,0.001,0.000
1,i,0,0.001,0.001,0.000
2,i,1,0.001,0.001,0.000
3,i,1,0.001,0.000,0.001
4,i,2,0.001,0.001,0.000
5,i,3,0.000,0.000,0.000
6,i,5,0.001,0.001,0.000
7,i,8,0.001,0.001,0.000
8,i,13,0.001,0.001,0.000
9,i,21,0.001,0.001,0.000
10,i,34,0.001,0.000,0.000
11,i,55,0.001,0.001,0.000
12,i,89,0.001,0.000,0.000
13,i,144,0.001,0.001,0.000
14,i,233,0.001,0.001,0.000
15,i,377,0.001,0.001,0.000
16,i,610,0.001,0.001,0.000
17,i,987,0.001,0.001,0.000
18,i,1597,0.001,0.001,0.000
19,i,2584,0.001,0.001,0.000
20,i,4181,0.001,0.000,0.001
21,i,6765,0.001,0.001,0.000
22,i,10946,0.001,0.000,0.000
23,i,17711,0.001,0.001,0.000
24,i,28657,0.001,0.001,0.000
25,i,46368,0.001,0.001,0.000
26,i,75025,0.001,0.000,0.000
27,i,121393,0.001,0.001,0.000
28,i,196418,0.001,0.001,0.000
29,i,317811,0.001,0.001,0.000
30,i,514229,0.001,0.001,0.000
31,i,832040,0.001,0.001,0.000
32,i,1346269,0.001,0.001,0.000
33,i,2178309,0.001,0.000,0.000
34,i,3524578,0.001,0.000,0.000
35,i,5702887,0.001,0.001,0.000
36,i,9227465,0.001,0.001,0.000
37,i,14930352,0.001,0.001,0.000
38,i,24157817,0.001,0.001,0.000
39,i,39088169,0.001,0.001,0.000
40,i,63245986,0.001,0.001,0.000
41,i,102334155,0.001,0.001,0.000
42,i,165580141,0.001,0.000,0.000
43,i,267914296,0.001,0.000,0.000
44,i,433494437,0.001,0.001,0.000
45,i,701408733,0.001,0.001,0.000
46,i,1134903170,0.001,0.001,0.000
47,i,1836311903,0.001,0.001,0.000
48,i,2971215073,0.001,0.000,0.000
49,i,4807526976,0.001,0.001,0.000
50,i,7778742049,0.001,0.001,0.000
51,i,12586269025,0.001,0.001,0.000
52,i,20365011074,0.001,0.001,0.000
53,i,32951280099,0.001,0.001,0.000
54,i,53316291173,0.001,0.001,0.000
55,i,86267571272,0.001,0.001,0.000
56,i,139583862445,0.001,0.000,0.000
57,i,225851433717,0.001,0.001,0.000
58,i,365435296162,0.001,0.000,0.000
59,i,591286729879,0.001,0.001,0.000
60,i,956722026041,0.001,0.001,0.000
61,i,1548008755920,0.001,0.001,0.000
62,i,2504730781961,0.001,0.001,0.000
63,i,4052739537881,0.001,0.001,0.000
64,i,6557470319842,0.001,0.000,0.000
65,i,10610209857723,0.001,0.000,0.000
66,i,17167680177565,0.001,0.001,0.000
67,i,27777890035288,0.001,0.001,0.000
68,i,44945570212853,0.001,0.001,0.000
69,i,72723460248141,0.001,0.000,0.001
70,i,117669030460994,0.001,0.001,0.000
71,i,190392490709135,0.001,0.001,0.000
72,i,308061521170129,0.001,0.001,0.000
73,i,498454011879264,0.001,0.001,0.000
74,i,806515533049393,0.001,0.001,0.000
75,i,1304969544928657,0.001,0.001,0.000
76,i,2111485077978050,0.001,0.000,0.000
77,i,3416454622906707,0.001,0.001,0.000
78,i,5527939700884757,0.001,0.001,0.000
79,i,8944394323791464,0.001,0.000,0.000
80,i,14472334024676221,0.001,0.001,0.000
81,i,23416728348467685,0.001,0.000,0.000
82,i,37889062373143906,0.001,0.001,0.000
83,i,61305790721611591,0.001,0.001,0.000
84,i,99194853094755497,0.001,0.001,0.000
85,i,160500643816367088,0.001,0.001,0.000
86,i,259695496911122585,0.001,0.001,0.000
87,i,420196140727489673,0.001,0.001,0.000
88,i,679891637638612258,0.001,0.001,0.000
89,i,1100087778366101931,0.001,0.001,0.000
90,i,1779979416004714189,0.001,0.001,0.000
91,i,2880067194370816120,0.001,0.001,0.000
92,i,4660046610375530309,0.001,0.001,0.000
93,i,7540113804746346429,0.001,0.001,0.000
94,i,-6246583658587674878,0.001,0.001,0.000
95,i,1293530146158671551,0.001,0.001,0.000
96,i,-4953053512429003327,0.001,0.001,0.000
97,i,-3659523366270331776,0.001,0.001,0.000
98,i,-8612576878699335103,0.001,0.000,0.000
99,i,6174643828739884737,0.001,0.001,0.000
100,i,-2437933049959450366,0.001,0.001,0.000
0,r,0,0.001,0.001,0.000
1,r,0,0.001,0.001,0.000
2,r,1,0.001,0.001,0.000
3,r,1,0.001,0.001,0.000
4,r,2,0.001,0.001,0.000
5,r,3,0.001,0.001,0.000
6,r,5,0.001,0.000,0.001
7,r,8,0.001,0.000,0.000
8,r,13,0.001,0.001,0.000
9,r,21,0.001,0.001,0.000
10,r,34,0.001,0.001,0.000
11,r,55,0.001,0.001,0.000
12,r,89,0.001,0.001,0.000
13,r,144,0.001,0.001,0.000
14,r,233,0.001,0.000,0.000
15,r,377,0.001,0.001,0.000
16,r,610,0.001,0.001,0.000
17,r,987,0.001,0.001,0.000
18,r,1597,0.001,0.001,0.000
19,r,2584,0.001,0.001,0.000
20,r,4181,0.001,0.001,0.000
21,r,6765,0.001,0.001,0.000
22,r,10946,0.001,0.001,0.000
23,r,17711,0.001,0.001,0.000
24,r,28657,0.001,0.001,0.000
25,r,46368,0.001,0.001,0.000
26,r,75025,0.001,0.001,0.000
27,r,121393,0.001,0.001,0.000
28,r,196418,0.001,0.001,0.000
29,r,317811,0.001,0.001,0.000
30,r,514229,0.001,0.001,0.000
31,r,832040,0.001,0.000,0.000
32,r,1346269,0.001,0.001,0.000
33,r,2178309,0.001,0.001,0.000
34,r,3524578,0.001,0.001,0.000
35,r,5702887,0.001,0.001,0.000
36,r,9227465,0.001,0.001,0.000
37,r,14930352,0.001,0.000,0.000
38,r,24157817,0.001,0.001,0.000
39,r,39088169,0.001,0.001,0.000
40,r,63245986,0.001,0.001,0.000
41,r,102334155,0.001,0.001,0.000
42,r,165580141,0.001,0.000,0.000
43,r,267914296,0.001,0.001,0.000
44,r,433494437,0.001,0.001,0.000
45,r,701408733,0.001,0.001,0.000
46,r,1134903170,0.001,0.001,0.000
47,r,1836311903,0.001,0.001,0.000
48,r,2971215073,0.001,0.001,0.000
49,r,4807526976,0.001,0.000,0.000
50,r,7778742049,0.001,0.000,0.000
51,r,12586269025,0.001,0.001,0.000
52,r,20365011074,0.001,0.000,0.000
53,r,32951280099,0.001,0.001,0.000
54,r,53316291173,0.001,0.001,0.000
55,r,86267571272,0.001,0.001,0.000
56,r,139583862445,0.001,0.000,0.000
57,r,225851433717,0.001,0.001,0.000
58,r,365435296162,0.001,0.001,0.000
59,r,591286729879,0.001,0.001,0.000
60,r,956722026041,0.001,0.000,0.000
61,r,1548008755920,0.001,0.001,0.000
62,r,2504730781961,0.001,0.001,0.000
63,r,4052739537881,0.001,0.001,0.000
64,r,6557470319842,0.001,0.000,0.000
65,r,10610209857723,0.001,0.001,0.000
66,r,17167680177565,0.001,0.001,0.000
67,r,27777890035288,0.001,0.001,0.000
68,r,44945570212853,0.001,0.001,0.000
69,r,72723460248141,0.001,0.001,0.000
70,r,117669030460994,0.001,0.000,0.001
71,r,190392490709135,0.001,0.001,0.000
72,r,308061521170129,0.001,0.001,0.000
73,r,498454011879264,0.001,0.001,0.000
74,r,806515533049393,0.001,0.001,0.000
75,r,1304969544928657,0.001,0.001,0.000
76,r,2111485077978050,0.001,0.001,0.000
77,r,3416454622906707,0.001,0.001,0.000
78,r,5527939700884757,0.001,0.001,0.000
79,r,8944394323791464,0.001,0.001,0.000
80,r,14472334024676221,0.001,0.001,0.000
81,r,23416728348467685,0.001,0.001,0.000
82,r,37889062373143906,0.001,0.001,0.000
83,r,61305790721611591,0.001,0.001,0.000
84,r,99194853094755497,0.001,0.001,0.000
85,r,160500643816367088,0.001,0.001,0.000
86,r,259695496911122585,0.001,0.001,0.000
87,r,420196140727489673,0.001,0.001,0.000
88,r,679891637638612258,0.001,0.001,0.000
89,r,1100087778366101931,0.001,0.000,0.000
90,r,1779979416004714189,0.001,0.001,0.000
91,r,2880067194370816120,0.001,0.001,0.000
92,r,4660046610375530309,0.001,0.001,0.000
93,r,7540113804746346429,0.001,0.001,0.000
94,r,-6246583658587674878,0.001,0.000,0.000
95,r,1293530146158671551,0.001,0.001,0.000
96,r,-4953053512429003327,0.001,0.001,0.000
97,r,-3659523366270331776,0.001,0.001,0.000
98,r,-8612576878699335103,0.001,0.001,0.000
99,r,6174643828739884737,0.001,0.001,0.000
100,r,-2437933049959450366,0.001,0.000,0.000
